Account,date,daily_pnl,num_trades,avg_trade_size_usd,wins,losses,Classification,win_rate,long_ratio,activity_segment,consistency_segment,size_segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,149,489.99302013422823,85,8,Greed,0.9139784946236559,0.875,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,103,728.4078640776698,49,0,Greed,1.0,0.9555555555555556,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,84,522.1204761904762,37,3,Neutral,0.925,0.43902439024390244,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,37,484.2756756756757,16,2,Greed,0.8888888888888888,0.7368421052631579,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,274.773033,63,446.3861904761905,39,1,Greed,0.975,0.8636363636363636,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,53.846609,61,561.3780327868852,19,0,Greed,1.0,0.972972972972973,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,894.564828,42,995.6730952380951,34,1,Greed,0.9714285714285714,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,55.137803,19,240.01052631578946,8,0,Greed,1.0,0.2,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,238.995461,87,136.35540229885058,28,0,Extreme Greed,1.0,0.03636363636363636,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,168.92152,70,118.53914285714285,35,1,Extreme Greed,0.9722222222222222,0.14285714285714285,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,594.135892,259,195.20691119691122,105,2,Extreme Greed,0.9813084112149533,0.35507246376811596,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,102.504343,184,155.71684782608696,79,11,Extreme Greed,0.8777777777777778,0.12,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,608.885905,169,169.7668047337278,69,3,Extreme Greed,0.9583333333333334,0.5106382978723404,Frequent,Inconsistent,Small Size
